Ticker,CreatedDate,Stock_Price,Quantity,Invested_Value,ESGScore,Climate,Country,Company,Latitude
PINXF,8/9/2021,0.264999986,10000,2649.999857,0,Fossil,China,The People's Insurance Co (Group) of China Ltd,22.542883
PINXF,9/2/2021,0.264999986,10000,2649.999857,0,Fossil,China,The People's Insurance Co (Group) of China Ltd,22.542883
PINXF,10/19/2021,0.264999986,10000,2649.999857,0,Fossil,China,The People's Insurance Co (Group) of China Ltd,22.542883
PINXF,12/14/2021,0.264999986,10000,2649.999857,0,Fossil,China,The People's Insurance Co (Group) of China Ltd,22.542883
PINXF,1/25/2022,0.264999986,10000,2649.999857,0,Fossil,China,The People's Insurance Co (Group) of China Ltd,22.542883
PINXF,2/16/2022,0.264999986,10000,2649.999857,0,Fossil,China,The People's Insurance Co (Group) of China Ltd,22.542883
PINXF,3/16/2022,0.264999986,10000,2649.999857,0,Fossil,China,The People's Insurance Co (Group) of China Ltd,22.542883
PINXF,4/11/2022,0.264999986,10000,2649.999857,0,Fossil,China,The People's Insurance Co (Group) of China Ltd,22.542883
PINXF,7/15/2022,0.264999986,10000,2649.999857,0,Fossil,China,The People's Insurance Co (Group) of China Ltd,22.542883
PINXF,8/8/2022,0.264999986,10000,2649.999857,0,Fossil,China,The People's Insurance Co (Group) of China Ltd,22.542883
PINXF,9/14/2022,0.264999986,10000,2649.999857,0.396825397,Fossil,China,The People's Insurance Co (Group) of China Ltd,22.542883
PINXF,10/19/2022,0.264999986,10000,2649.999857,0.396825397,Fossil,China,The People's Insurance Co (Group) of China Ltd,22.542883
PINXF,11/9/2022,0.264999986,10000,2649.999857,0.396825397,Fossil,China,The People's Insurance Co (Group) of China Ltd,22.542883
PINXF,12/16/2022,0.264999986,10000,2649.999857,0.396825397,Fossil,China,The People's Insurance Co (Group) of China Ltd,22.542883
PINXF,1/27/2023,0.264999986,10000,2649.999857,0.396825397,Fossil,China,The People's Insurance Co (Group) of China Ltd,22.542883
PINXF,2/8/2023,0.264999986,10000,2649.999857,0.396825397,Fossil,China,The People's Insurance Co (Group) of China Ltd,22.542883
PINXF,3/9/2023,0.264999986,10000,2649.999857,0.396825397,Fossil,China,The People's Insurance Co (Group) of China Ltd,22.542883
SAFRF,4/14/2020,88,10000,880000,0,"GenderEquality,Weapons",France,Safran SA,48.8172
SAFRF,5/19/2020,86,10000,860000,0,"GenderEquality,Weapons",France,Safran SA,48.8172
SAFRF,6/10/2020,111.0699997,10000,1110699.997,0,"GenderEquality,Weapons",France,Safran SA,48.8172
SAFRF,7/16/2020,109.1900024,10000,1091900.024,0,"GenderEquality,Weapons",France,Safran SA,48.8172
SAFRF,8/11/2020,125.25,10000,1252500,0,"GenderEquality,Weapons",France,Safran SA,48.8172
SAFRF,9/28/2020,101.3600006,10000,1013600.006,0,"GenderEquality,Weapons",France,Safran SA,48.8172
SAFRF,11/11/2020,140,10000,1400000,0,"GenderEquality,Weapons",France,Safran SA,48.8172
SAFRF,1/21/2021,138.1699982,10000,1381699.982,0,"GenderEquality,Weapons",France,Safran SA,48.8172
SAFRF,3/3/2021,144.1499939,10000,1441499.939,0,"GenderEquality,Weapons",France,Safran SA,48.8172
SAFRF,4/1/2021,145.0500031,10000,1450500.031,0,"GenderEquality,Weapons",France,Safran SA,48.8172
SAFRF,5/3/2021,152.5599976,10000,1525599.976,0,"GenderEquality,Weapons",France,Safran SA,48.8172
SAFRF,7/15/2021,135.4299927,10000,1354299.927,0,"GenderEquality,Weapons",France,Safran SA,48.8172
SAFRF,8/9/2021,129.3699951,10000,1293699.951,0,"GenderEquality,Weapons",France,Safran SA,48.8172
SAFRF,9/2/2021,130.25,10000,1302500,1.19047619,"GenderEquality,Weapons",France,Safran SA,48.8172
SAFRF,10/19/2021,128.2599945,10000,1282599.945,1.19047619,"GenderEquality,Weapons",France,Safran SA,48.8172
SAFRF,12/14/2021,116.7399979,10000,1167399.979,1.19047619,"GenderEquality,Weapons",France,Safran SA,48.8172
SAFRF,1/25/2022,122.1699982,10000,1221699.982,1.19047619,"GenderEquality,Weapons",France,Safran SA,48.8172
SAFRF,2/16/2022,132.4100037,10000,1324100.037,1.19047619,"GenderEquality,Weapons",France,Safran SA,48.8172
SAFRF,3/16/2022,116.5800018,10000,1165800.018,1.19047619,"GenderEquality,Weapons",France,Safran SA,48.8172
SAFRF,4/11/2022,108,10000,1080000,1.19047619,"GenderEquality,Weapons",France,Safran SA,48.8172
SAFRF,7/15/2022,105.75,10000,1057500,1.19047619,"GenderEquality,Weapons",France,Safran SA,48.8172
SAFRF,8/8/2022,111.6999969,10000,1116999.969,1.19047619,"GenderEquality,Weapons",France,Safran SA,48.8172
SAFRF,9/14/2022,102.5800018,10000,1025800.018,1.19047619,"GenderEquality,Weapons",France,Safran SA,48.8172
SAFRF,10/19/2022,104.5899963,10000,1045899.963,1.19047619,"GenderEquality,Weapons",France,Safran SA,48.8172
SAFRF,11/9/2022,115.3099976,10000,1153099.976,1.19047619,"GenderEquality,Weapons",France,Safran SA,48.8172
SAFRF,12/16/2022,124.8499985,10000,1248499.985,1.19047619,"GenderEquality,Weapons",France,Safran SA,48.8172
SAFRF,1/27/2023,144.5599976,10000,1445599.976,1.19047619,"GenderEquality,Weapons",France,Safran SA,48.8172
SAFRF,2/8/2023,140.1000061,10000,1401000.061,1.19047619,"GenderEquality,Weapons",France,Safran SA,48.8172
SAFRF,3/9/2023,144,10000,1440000,1.19047619,"GenderEquality,Weapons",France,Safran SA,48.8172
UGI,4/14/2020,30,10000,300000,0.722222222,"Fossil,GenderEquality",United States,UGI Corp,21.3099
UGI,5/19/2020,31.51000023,10000,315100.0023,0.722222222,"Fossil,GenderEquality",United States,UGI Corp,21.3099
UGI,6/10/2020,35.36999893,10000,353699.9893,0.722222222,"Fossil,GenderEquality",United States,UGI Corp,21.3099
UGI,7/16/2020,33.22000122,10000,332200.0122,0.722222222,"Fossil,GenderEquality",United States,UGI Corp,21.3099
UGI,8/11/2020,36.41999817,10000,364199.9817,0.722222222,"Fossil,GenderEquality",United States,UGI Corp,21.3099
UGI,9/28/2020,33.20000076,10000,332000.0076,0.722222222,"Fossil,GenderEquality",United States,UGI Corp,21.3099
UGI,11/11/2020,37.22000122,10000,372200.0122,0.722222222,"Fossil,GenderEquality",United States,UGI Corp,21.3099
UGI,1/21/2021,37.47999954,10000,374799.9954,0.722222222,"Fossil,GenderEquality",United States,UGI Corp,21.3099
UGI,3/3/2021,39.58000183,10000,395800.0183,0.722222222,"Fossil,GenderEquality",United States,UGI Corp,21.3099
