Company,Country,Ticker,Climate,,,
Berkshire Hathaway Inc,United States, BRYN,GenderEquality,,,
Black Hills Corp,United States, BKH,GenderEquality,,,
CenterPoint Energy Inc,United States, CNP,GenderEquality,,,
CMS Energy Corp,United States, CMS,GenderEquality,,,
Consolidated Edison Inc,United States, ED,GenderEquality,,,
Dominion Energy Inc,United States, D,GenderEquality,,,
DTE Energy Co,United States, DTE,GenderEquality,,,
Duke Energy Corp,United States, DUK,GenderEquality,,,
Edison International,United States, EIX,GenderEquality,,,
Entergy Corp,United States, ETR,GenderEquality,,,
Evergy Inc,United States, EVRG,GenderEquality,,,
Eversource Energy,United States, ES,GenderEquality,,,
Exelon Corp,United States, EXC,GenderEquality,,,
FirstEnergy Corp,United States, FE,GenderEquality,,,
Hawaiian Electric Industries Inc,United States,HE,GenderEquality,,,
Idacorp Inc,United States,IDA,GenderEquality,,,
MDU Resources Group Inc,United States,MDU,GenderEquality,,,
MGE Energy Inc,United States,MGEE,GenderEquality,,,
New Fortress Energy Inc,United States,NFE,GenderEquality,,,
New Jersey Resources Corp,United States, NJR,GenderEquality,,,
NextEra Energy Inc,United States, NEE,GenderEquality,,,
NiSource Inc,United States, NI,GenderEquality,,,
NorthWestern Corp,United States,NWE,GenderEquality,,,
NRG Energy Inc,United States, NRG,GenderEquality,,,
OGE Energy Corp,United States, OGE,GenderEquality,,,
ONE Gas Inc,United States, OGS,GenderEquality,,,
PG&E Corp,United States, PCG,GenderEquality,,,
Pinnacle West Capital Corp,United States, PNW,GenderEquality,,,
PNM Resources Inc,United States, PNM,GenderEquality,,,
Portland General Electric Co,United States, POR,GenderEquality,,,
PPL Corp,United States, PPL,GenderEquality,,,
Public Service Enterprise Group Inc,United States, PEG,GenderEquality,,,
Sempra Energy,United States, SRE,GenderEquality,,,
Southern Co,United States, SO,GenderEquality,,,
Southwest Gas Holdings Inc,United States,SWX,GenderEquality,,,
Spire Inc,United States, SR,GenderEquality,,,
The AES Corp,United States, AES,GenderEquality,,,
UGI Corp,United States, UGI,GenderEquality,,,
Vistra Corp,United States, VST,GenderEquality,,,
WEC Energy Group Inc,United States, WEC,GenderEquality,,,
Xcel Energy Inc,United States, XEL,GenderEquality,,,
Capri Holdings Ltd,"Virgin Islands, British", CPRI,GenderEquality,,,
Nomad Foods Ltd,"Virgin Islands, British", NOMD,GenderEquality,,,
VK Co Ltd,"Virgin Islands, British", MLRYY,GenderEquality,,,
BNP Paribas,France, BNPQF,Prison,,,
Capgemini SE,France, CAPMF,Prison,,,
Sodexo,France, SDXAY,Prison,,,
Thales,France, CSF,Prison,,,
Berkshire Hathaway Inc,United States, BRYN,Prison,,,
,,,Sealevel,AAC Technologies Holdings Inc,Cayman Islands, AACAF
,,,Sealevel,AAG Energy Holdings Ltd,Cayman Islands, AAGEF
,,,Sealevel,Agile Group Holdings Ltd,Cayman Islands, AGPYF
,,,Sealevel,Alibaba Group Holding Ltd,Cayman Islands, BABA
,,,Sealevel,Ambarella Inc,Cayman Islands, AMBA
,,,Sealevel,AMTD Digital Inc,Cayman Islands,HKD
,,,Sealevel,ANTA Sports Products Ltd,Cayman Islands, ANPDF
,,,Sealevel,Anton Oilfield Services Group,Cayman Islands, ATONF
,,,Sealevel,ASMPT Ltd,Cayman Islands, ASMVF
,,,Sealevel,Ausnutria Dairy Corp Ltd,Cayman Islands, AUDYF
,,,Sealevel,Autohome Inc,Cayman Islands, ATHM
,,,Sealevel,Baidu Inc,Cayman Islands, BAIDF
,,,Sealevel,BeiGene Ltd,Cayman Islands, BGNE
,,,Sealevel,Bilibili Inc,Cayman Islands, BILI
,,,Sealevel,Brooge Energy Ltd,Cayman Islands, BROG
,,,Sealevel,Budweiser Brewing Co APAC Ltd,Cayman Islands, BDWBF
,,,Sealevel,China Conch Venture Holdings Ltd,Cayman Islands, CCVTF
,,,Sealevel,China Education Group Holdings Ltd,Cayman Islands, CEGHF
,,,Sealevel,China Evergrande Group,Cayman Islands, EGRNF
,,,Sealevel,China Hongqiao Group Ltd,Cayman Islands, CHHQF
,,,Sealevel,China Literature Ltd,Cayman Islands, CHLLF
,,,Sealevel,China Medical System Holdings Ltd,Cayman Islands, CHSYF
,,,Sealevel,China Mengniu Dairy Co Ltd,Cayman Islands, CIADF
,,,Sealevel,China Resources Cement Holdings Ltd,Cayman Islands, CARCY
,,,Sealevel,China Resources Land Ltd,Cayman Islands, CRBJF
,,,Sealevel,China State Construction International Holdings Ltd,Cayman Islands, CCOHF
,,,Sealevel,Chow Tai Fook Jewellery Group Ltd,Cayman Islands, CJEWF
,,,Sealevel,CIMC Enric Holdings Ltd,Cayman Islands, CIMEF
,,,Sealevel,CK Asset Holdings Ltd,Cayman Islands, CHKGF
,,,Sealevel,CK Hutchison Holdings Ltd,Cayman Islands, CKHUF
,,,Sealevel,Country Garden Holdings Co Ltd,Cayman Islands, CTRYF
,,,Sealevel,Country Garden Services Holdings Co Ltd,Cayman Islands, CGSHY
,,,Sealevel,Dali Foods Group Co Ltd,Cayman Islands, DLLFF
,,,Sealevel,Dingdong (Cayman) Ltd,Cayman Islands, DDL
,,,Sealevel,Diversey Holdings Ltd,Cayman Islands,DSEY
,,,Sealevel,DLocal Ltd,Cayman Islands,DLO
,,,Sealevel,ENN Energy Holdings Ltd,Cayman Islands, XNGSF
,,,Sealevel,ESR Group Ltd,Cayman Islands, ESRCF
,,,Sealevel,Fabrinet,Cayman Islands,FAN
,,,Sealevel,Farfetch Ltd,Cayman Islands, FTCH
,,,Sealevel,Fenikso Ltd,Cayman Islands,FNK
,,,Sealevel,FIT Hon Teng Ltd,Cayman Islands, FITGF
,,,Sealevel,Full Truck Alliance Co Ltd,Cayman Islands, YMM
,,,Sealevel,Futu Holdings Ltd,Cayman Islands, FUTU
,,,Sealevel,Galaxy Digital Holdings Ltd,Cayman Islands, BRPHF
,,,Sealevel,GCL Technology Holdings Ltd,Cayman Islands, GCPEF
,,,Sealevel,GDS Holdings Ltd,Cayman Islands, GDS
,,,Sealevel,Geely Automobile Holdings Ltd,Cayman Islands, GELYF
,,,Sealevel,GLOBALFOUNDRIES Inc,Cayman Islands, GFS
,,,Sealevel,Greentown China Holdings Ltd,Cayman Islands, GTWCF
,,,Sealevel,H World Group Ltd,Cayman Islands, HTHT
,,,Sealevel,Haidilao International Holding Ltd,Cayman Islands, HDALF
,,,Sealevel,Health and Happiness (H&H) International Holdings Ltd,Cayman Islands, BTSDF
,,,Sealevel,Hello Group Inc,Cayman Islands, MOMO
,,,Sealevel,Hengan International Group Co Ltd,Cayman Islands, HEGIF
,,,Sealevel,Herbalife Nutrition Ltd,Cayman Islands,HLF
,,,Sealevel,Hidili Industry International Development Ltd,Cayman Islands, HIIDQ
,,,Sealevel,HKT Trust and HKT Ltd,Cayman Islands, HKTTF
,,,Sealevel,HUTCHMED (China) Ltd,Cayman Islands, HCM
,,,Sealevel,Indonesia Energy Corp Ltd,Cayman Islands,INDO
,,,Sealevel,JD.com Inc,Cayman Islands, JD
,,,Sealevel,JinkoSolar Holding Co Ltd,Cayman Islands, JKS
,,,Sealevel,JOYY Inc,Cayman Islands, YY
,,,Sealevel,JS Global Lifestyle Co Ltd,Cayman Islands, JGLCF
,,,Sealevel,Jutal Offshore Oil Services Ltd,Cayman Islands, JUTOY
,,,Sealevel,Kanzhun Ltd,Cayman Islands, BZ
,,,Sealevel,Kingboard Holdings Ltd,Cayman Islands, KBDCF
,,,Sealevel,Kingboard Laminates Holdings Ltd,Cayman Islands, KGBLF
,,,Sealevel,Kingsoft Corp Ltd,Cayman Islands, KSFTF
,,,Sealevel,KWG Group Holdings Ltd,Cayman Islands, KWGPF
,,,Sealevel,Lee & Man Paper Manufacturing Ltd,Cayman Islands, LMPMF
,,,Sealevel,Legend Biotech Corp,Cayman Islands, LEGN
,,,Sealevel,Li Auto Inc,Cayman Islands, LI
,,,Sealevel,Li Ning Co Ltd,Cayman Islands, LNNGF
,,,Sealevel,Logan Property Holdings Co Ltd,Cayman Islands, LPHHF
,,,Sealevel,Longfor Group Holdings Ltd,Cayman Islands, LGFRY
,,,Sealevel,Luckin Coffee Inc,Cayman Islands, LKCO
,,,Sealevel,Manchester United PLC,Cayman Islands, MANU
,,,Sealevel,Meituan,Cayman Islands, MPNGF
,,,Sealevel,Melco Resorts and Entertainment Ltd,Cayman Islands, MAS
,,,Sealevel,MGM China Holdings Ltd,Cayman Islands, MCHVF
,,,Sealevel,MicroPort Scientific Corp,Cayman Islands, MCRPF
,,,Sealevel,Minth Group Ltd,Cayman Islands, MNTHF
,,,Sealevel,Mongolian Mining Corp,Cayman Islands, MOGLF
,,,Sealevel,NagaCorp Ltd,Cayman Islands, NGCRF
,,,Sealevel,NetEase Inc,Cayman Islands, NETTF
,,,Sealevel,New Oriental Education & Technology Group Inc,Cayman Islands, EDU
,,,Sealevel,Nexteer Automotive Group Ltd,Cayman Islands, NTXVF
,,,Sealevel,NIO Inc,Cayman Islands, NIO
,,,Sealevel,Noah Holdings Ltd,Cayman Islands, NOAH
,,,Sealevel,PagSeguro Digital Ltd,Cayman Islands,PAGS
,,,Sealevel,PDD Holdings Inc,Cayman Islands, PDD
,,,Sealevel,Perennial Energy Holdings Ltd,Cayman Islands, PEZ
,,,Sealevel,Recon Technology Ltd,Cayman Islands, RCON
,,,Sealevel,RLX Technology Inc,Cayman Islands, RLX
,,,Sealevel,Sands China Ltd,Cayman Islands, SCHYF
,,,Sealevel,Sany Heavy Equipment International Holdings Co Ltd,Cayman Islands, SNYYF
,,,Sealevel,Sapiens International Corp NV,Cayman Islands, SPNS
,,,Sealevel,Sea Ltd,Cayman Islands, SE
,,,Sealevel,Seazen Group Ltd,Cayman Islands, SZENF
,,,Sealevel,Shelf Drilling Ltd,Cayman Islands, SHLLF
,,,Sealevel,Shengli Oil & Gas Pipe Holdings Ltd,Cayman Islands, GSG
,,,Sealevel,Shenzhou International Group Holdings Ltd,Cayman Islands, SHZHY
,,,Sealevel,Shimao Group Holdings Ltd,Cayman Islands, SHMAY
,,,Sealevel,Silicon Motion Technology Corp,Cayman Islands, SIMO
,,,Sealevel,Sino Biopharmaceutical Ltd,Cayman Islands, SBHMY
,,,Sealevel,SITC International Holdings Co Ltd,Cayman Islands, SITIF
,,,Sealevel,Smoore International Holdings Ltd,Cayman Islands, SMORF
,,,Sealevel,SPT Energy Group Inc,Cayman Islands, SEGYY
,,,Sealevel,StoneCo Ltd,Cayman Islands, STNE
,,,Sealevel,Sunac China Holdings Ltd,Cayman Islands, SCCCF
,,,Sealevel,Sunny Optical Technology (Group) Co Ltd,Cayman Islands, SNPTF
,,,Sealevel,TAL Education Group,Cayman Islands, TAL
,,,Sealevel,Tencent Holdings Ltd,Cayman Islands, TCEHY
,,,Sealevel,Tencent Music Entertainment Group,Cayman Islands, TME
,,,Sealevel,Tethys Petroleum Ltd,Cayman Islands, TETHF
,,,Sealevel,Tianneng Power International Ltd,Cayman Islands, TIANF
,,,Sealevel,Tingyi (Cayman Islands) Holding Corp,Cayman Islands, TCYMF
,,,Sealevel,Towngas Smart Energy Co Ltd,Cayman Islands, PGJ
,,,Sealevel,Trip.com Group Ltd,Cayman Islands, TCOM
,,,Sealevel,Tuya Inc,Cayman Islands, TUYA
,,,Sealevel,Uni-President China Holdings Ltd,Cayman Islands, UNPSF
,,,Sealevel,Vantage Drilling Co,Cayman Islands,VTGDF
,,,Sealevel,Vantage Drilling International,Cayman Islands,VTDRF
,,,Sealevel,Vinda International Holdings Ltd,Cayman Islands, VDAHF
,,,Sealevel,Vipshop Holdings Ltd,Cayman Islands, VIPS
,,,Sealevel,Want Want China Holdings Ltd,Cayman Islands, WWNTF
,,,Sealevel,Weibo Corp,Cayman Islands, WB
,,,Sealevel,WH Group Ltd,Cayman Islands, WHGLY
,,,Sealevel,Wharf Real Estate Investment Co Ltd,Cayman Islands, WRFRF
,,,Sealevel,WuXi Biologics (Cayman) Inc,Cayman Islands, WXIBF
,,,Sealevel,Wynn Macau Ltd,Cayman Islands, WYNMF
,,,Sealevel,Xiaomi Corp,Cayman Islands, XIACF
,,,Sealevel,Xinyi Glass Holdings Ltd,Cayman Islands, XYIGF
,,,Sealevel,Xinyi Solar Holdings Ltd,Cayman Islands, XISHY
,,,Sealevel,XP Inc,Cayman Islands,XP
,,,Sealevel,Yadea Group Holdings Ltd,Cayman Islands, YADGF
,,,Sealevel,Zai Lab Ltd,Cayman Islands, ZLAB
,,,Sealevel,Zhihu Inc,Cayman Islands, ZH
,,,Sealevel,Zhongsheng Group Holdings Ltd,Cayman Islands, ZHSHF
,,,Sealevel,ZTO Express (Cayman) Inc,Cayman Islands, ZTO
,,,Sealevel,Golden Agri-Resources Ltd,Mauritius, GARPF
,,,Sealevel,MakeMyTrip Ltd,Mauritius,MMYT
,,,Sealevel,Capri Holdings Ltd,"Virgin Islands, British", CPRI
,,,Sealevel,China Natural Resources Inc,"Virgin Islands, British",CHNR
,,,Sealevel,Feishang Anthracite Resources Ltd,"Virgin Islands, British", FSHRF
,,,Sealevel,National Energy Services Reunited Corp,"Virgin Islands, British",NESR
,,,Sealevel,Nomad Foods Ltd,"Virgin Islands, British", NOMD
,,,Sealevel,Orca Energy Group Inc,"Virgin Islands, British", ORXGF
,,,Sealevel,Petro-Victory Energy Corp,"Virgin Islands, British", PTVRF
,,,Sealevel,Solgenics Ltd,"Virgin Islands, British", NCDZF
,,,Sealevel,VK Co Ltd,"Virgin Islands, British", MLRYY
RLX Technology Inc,Cayman Islands, RLX,Tobacco,,,
Smoore International Holdings Ltd,Cayman Islands, SMORF,Tobacco,,,
CNIM Group,France, COMP,Weapons,,,
Dassault Aviation SA,France, AM,Weapons,,,
Safran SA,France, SAFRF,Weapons,,,
Thales,France, CSF,Weapons,,,
Bharat Dynamics Ltd,India, BDL,Weapons,,,
Hindustan Aeronautics Ltd,India, HAL,Weapons,,,
Larsen & Toubro Ltd,India, LTOUF,Weapons,,,
