,CreatedDate,Invested_Value,Invested_Value_NoImpact
279,2044-02-09,38842276.166825406,48769532.90019628
280,2044-03-09,38752027.32331303,48738896.57309969
281,2044-04-09,38878282.557187326,48951544.78644275
282,2044-05-09,38920121.28219141,49035759.3839158
283,2044-06-09,38912375.425389774,49095242.382967055
284,2044-07-09,39165408.858078286,49459583.29473764
285,2044-08-09,39355195.89963262,49725381.725646846
286,2044-09-09,39464832.1389472,49915298.89243837
287,2044-10-09,39551469.227140896,50066173.95189477
288,2044-11-09,39782682.13519289,50380359.21812678
289,2044-12-09,40037065.20192719,50725076.066891365
290,2045-01-09,39984920.75529248,50690936.23598275
291,2045-02-09,40058331.87736155,50817821.80198758
292,2045-03-09,40095901.233794376,50913371.51986859
293,2045-04-09,40161964.9668622,51076932.75786655
294,2045-05-09,40161336.93909436,51171316.91479279
295,2045-06-09,40202733.37347288,51249785.57345786
296,2045-07-09,40389826.57560485,51499988.56436334
297,2045-08-09,40313686.98854584,51474544.461971
298,2045-09-09,40252733.84023888,51444932.57452136
299,2045-10-09,40470515.039493695,51720684.48520967
300,2045-11-09,40768666.75511459,52107378.40259292
301,2045-12-09,40723069.025723234,52122038.14088396
302,2046-01-09,40702117.18147935,52144961.15626611
303,2046-02-09,40842719.897969455,52335950.27186208
304,2046-03-09,40782134.617831424,52295139.94525906
305,2046-04-09,40960502.5421684,52579029.83069786
306,2046-05-09,41261846.96937675,52958860.53436981
307,2046-06-09,41291705.025998056,53034613.05982835
308,2046-07-09,41290169.37023598,53114648.16066976
309,2046-08-09,41535579.23334263,53432478.02457341
310,2046-09-09,41632834.69874645,53641585.85394429
311,2046-10-09,41517915.00023224,53547690.5169488
312,2046-11-09,41456870.37761394,53508326.70349531
313,2046-12-09,41751991.49993177,53906772.86474306
314,2047-01-09,41737027.22758981,53961765.27847768
315,2047-02-09,41708872.93378516,53986702.78250016
316,2047-03-09,41832181.145260654,54146785.29946856
317,2047-04-09,41793149.87488857,54130868.69557949
318,2047-05-09,42062941.74724803,54525458.57861079
319,2047-06-09,41963052.19461285,54437357.58993931
320,2047-07-09,41924557.3390332,54483406.756236285
321,2047-08-09,41813875.47916888,54417933.94602561
322,2047-09-09,42104471.4048721,54837497.48196399
323,2047-10-09,42009814.71328089,54794945.3389639
324,2047-11-09,42206833.75240117,55067825.568240345
325,2047-12-09,42411895.205499366,55345838.00772958
326,2048-01-09,42731741.7591876,55757657.84401061
327,2048-02-09,43095948.29934151,56251023.64573628
328,2048-03-09,43150403.13224225,56336663.74843526
329,2048-04-09,43427849.5951958,56693183.96559631
330,2048-05-09,43540584.37019275,56917720.336134784
331,2048-06-09,43430750.25297343,56847913.92009704
332,2048-07-09,43552457.69824471,57028584.75309748
333,2048-08-09,43601140.61691144,57173028.23245935
334,2048-09-09,43858690.29531255,57545413.6387123
335,2048-10-09,43765258.86019585,57469097.90958014
336,2048-11-09,43866664.25194015,57644666.8496453
337,2048-12-09,43842207.34756292,57706734.75774222
338,2049-01-09,43772444.730080776,57676094.39003545
339,2049-02-09,44115915.28946228,58129656.007528126
340,2049-03-09,44194717.42874567,58296237.66401977
341,2049-04-09,44507843.914908566,58748231.136126265
342,2049-05-09,44736000.29380741,59060349.55428231
343,2049-06-09,44877162.92212168,59330123.4030956
344,2049-07-09,45146733.041199125,59706591.90217579
345,2049-08-09,45191131.956813365,59780391.66105151
346,2049-09-09,45306033.31683756,59984191.34227283
347,2049-10-09,45363226.84838269,60140063.96648902
348,2049-11-09,45433423.42265797,60266328.02106191
349,2049-12-09,45383358.60775965,60284269.44611386
350,2050-01-09,45724442.03309475,60774633.88582852
351,2050-02-09,45999130.68965719,61173728.54479564
